cart_event_id,session_id,product_id,event_time,action
1,3931,29,2023-06-01 00:00:00,add_to_cart
2,3656,32,2023-06-01 00:30:00,add_to_cart
3,1040,62,2023-06-01 01:00:00,view
4,3839,39,2023-06-01 01:30:00,view
5,1165,63,2023-06-01 02:00:00,view
6,1903,18,2023-06-01 02:30:00,view
7,4061,61,2023-06-01 03:00:00,view
8,2571,41,2023-06-01 03:30:00,add_to_cart
9,81,39,2023-06-01 04:00:00,add_to_cart
10,1870,57,2023-06-01 04:30:00,view
11,4919,7,2023-06-01 05:00:00,view
12,1946,67,2023-06-01 05:30:00,add_to_cart
13,3708,16,2023-06-01 06:00:00,add_to_cart
14,4060,65,2023-06-01 06:30:00,view
15,4692,13,2023-06-01 07:00:00,view
16,2780,36,2023-06-01 07:30:00,view
17,4523,51,2023-06-01 08:00:00,add_to_cart
18,4173,6,2023-06-01 08:30:00,view
19,4401,73,2023-06-01 09:00:00,add_to_cart
20,2468,53,2023-06-01 09:30:00,add_to_cart
21,396,67,2023-06-01 10:00:00,add_to_cart
22,4392,77,2023-06-01 10:30:00,view
23,1869,36,2023-06-01 11:00:00,add_to_cart
24,2446,3,2023-06-01 11:30:00,view
25,914,51,2023-06-01 12:00:00,view
26,4737,5,2023-06-01 12:30:00,view
27,4799,20,2023-06-01 13:00:00,add_to_cart
28,4224,64,2023-06-01 13:30:00,view
29,4280,28,2023-06-01 14:00:00,view
30,4925,49,2023-06-01 14:30:00,view
31,1576,41,2023-06-01 15:00:00,add_to_cart
32,4262,26,2023-06-01 15:30:00,view
33,1586,24,2023-06-01 16:00:00,add_to_cart
34,1422,9,2023-06-01 16:30:00,add_to_cart
35,3602,10,2023-06-01 17:00:00,view
36,1411,30,2023-06-01 17:30:00,add_to_cart
37,1290,27,2023-06-01 18:00:00,view
38,1463,21,2023-06-01 18:30:00,add_to_cart
39,4327,1,2023-06-01 19:00:00,view
40,669,7,2023-06-01 19:30:00,add_to_cart
41,608,57,2023-06-01 20:00:00,add_to_cart
42,3625,44,2023-06-01 20:30:00,view
43,149,16,2023-06-01 21:00:00,view
44,567,33,2023-06-01 21:30:00,view
45,2317,55,2023-06-01 22:00:00,add_to_cart
46,4983,33,2023-06-01 22:30:00,add_to_cart
47,4421,78,2023-06-01 23:00:00,view
48,4686,46,2023-06-01 23:30:00,add_to_cart
49,1410,48,2023-06-02 00:00:00,view
50,3185,69,2023-06-02 00:30:00,add_to_cart
51,2123,42,2023-06-02 01:00:00,add_to_cart
52,2723,5,2023-06-02 01:30:00,add_to_cart
53,1732,79,2023-06-02 02:00:00,add_to_cart
54,2049,76,2023-06-02 02:30:00,add_to_cart
55,954,45,2023-06-02 03:00:00,add_to_cart
56,1946,18,2023-06-02 03:30:00,view
57,2035,42,2023-06-02 04:00:00,view
58,3588,21,2023-06-02 04:30:00,view
59,427,29,2023-06-02 05:00:00,view
60,99,74,2023-06-02 05:30:00,view
61,3459,53,2023-06-02 06:00:00,add_to_cart
62,4160,65,2023-06-02 06:30:00,add_to_cart
63,4569,12,2023-06-02 07:00:00,view
64,3478,54,2023-06-02 07:30:00,view
65,4450,41,2023-06-02 08:00:00,view
66,4679,12,2023-06-02 08:30:00,view
67,4648,60,2023-06-02 09:00:00,add_to_cart
68,3625,21,2023-06-02 09:30:00,view
69,909,58,2023-06-02 10:00:00,add_to_cart
70,4643,69,2023-06-02 10:30:00,add_to_cart
71,1632,41,2023-06-02 11:00:00,view
72,1889,36,2023-06-02 11:30:00,add_to_cart
73,1380,19,2023-06-02 12:00:00,add_to_cart
74,2247,67,2023-06-02 12:30:00,add_to_cart
75,1923,21,2023-06-02 13:00:00,view
76,4508,62,2023-06-02 13:30:00,add_to_cart
77,457,72,2023-06-02 14:00:00,add_to_cart
78,1546,38,2023-06-02 14:30:00,view
79,380,80,2023-06-02 15:00:00,view
80,3001,63,2023-06-02 15:30:00,view
81,4895,22,2023-06-02 16:00:00,view
82,1944,27,2023-06-02 16:30:00,view
83,1988,69,2023-06-02 17:00:00,add_to_cart
84,2859,36,2023-06-02 17:30:00,view
85,159,59,2023-06-02 18:00:00,view
86,4237,7,2023-06-02 18:30:00,add_to_cart
87,347,64,2023-06-02 19:00:00,add_to_cart
88,4221,47,2023-06-02 19:30:00,view
89,3436,8,2023-06-02 20:00:00,view
90,4885,62,2023-06-02 20:30:00,add_to_cart
91,1115,18,2023-06-02 21:00:00,add_to_cart
92,623,48,2023-06-02 21:30:00,add_to_cart
93,4824,41,2023-06-02 22:00:00,add_to_cart
94,2076,5,2023-06-02 22:30:00,view
95,199,9,2023-06-02 23:00:00,add_to_cart
96,2385,7,2023-06-02 23:30:00,add_to_cart
97,2375,65,2023-06-03 00:00:00,add_to_cart
98,460,57,2023-06-03 00:30:00,view
99,2252,44,2023-06-03 01:00:00,view
100,3261,71,2023-06-03 01:30:00,view
101,2496,21,2023-06-03 02:00:00,view
102,4420,62,2023-06-03 02:30:00,view
103,3825,56,2023-06-03 03:00:00,add_to_cart
104,2015,50,2023-06-03 03:30:00,view
105,1088,26,2023-06-03 04:00:00,add_to_cart
106,1043,25,2023-06-03 04:30:00,view
107,1433,76,2023-06-03 05:00:00,view
