session_id,customer_id,session_start,device,traffic_source
1,134,2023-06-01 00:00:00,Tablet,Google Ads
2,1129,2023-06-01 01:00:00,Desktop,Referral
3,345,2023-06-01 02:00:00,Tablet,Google Ads
4,357,2023-06-01 03:00:00,Mobile,Email
5,729,2023-06-01 04:00:00,Desktop,Referral
6,269,2023-06-01 05:00:00,Mobile,Organic
7,864,2023-06-01 06:00:00,Desktop,Google Ads
8,78,2023-06-01 07:00:00,Mobile,Google Ads
9,1053,2023-06-01 08:00:00,Desktop,Referral
10,1260,2023-06-01 09:00:00,Desktop,Google Ads
11,1493,2023-06-01 10:00:00,Mobile,Google Ads
12,236,2023-06-01 11:00:00,Mobile,Referral
13,1422,2023-06-01 12:00:00,Mobile,Organic
14,718,2023-06-01 13:00:00,Tablet,Organic
15,1180,2023-06-01 14:00:00,Desktop,Google Ads
16,722,2023-06-01 15:00:00,Desktop,Email
17,516,2023-06-01 16:00:00,Mobile,Organic
18,532,2023-06-01 17:00:00,Desktop,Google Ads
19,230,2023-06-01 18:00:00,Desktop,Meta Ads
20,430,2023-06-01 19:00:00,Mobile,Meta Ads
21,292,2023-06-01 20:00:00,Desktop,Meta Ads
22,1495,2023-06-01 21:00:00,Desktop,Organic
23,1158,2023-06-01 22:00:00,Desktop,Referral
24,1118,2023-06-01 23:00:00,Mobile,Email
25,1162,2023-06-02 00:00:00,Mobile,Email
26,1368,2023-06-02 01:00:00,Desktop,Organic
27,595,2023-06-02 02:00:00,Mobile,Meta Ads
28,1365,2023-06-02 03:00:00,Desktop,Referral
29,325,2023-06-02 04:00:00,Mobile,Meta Ads
30,1298,2023-06-02 05:00:00,Desktop,Organic
31,1397,2023-06-02 06:00:00,Mobile,Meta Ads
32,642,2023-06-02 07:00:00,Mobile,Referral
33,1043,2023-06-02 08:00:00,Mobile,Meta Ads
34,1494,2023-06-02 09:00:00,Tablet,Organic
35,942,2023-06-02 10:00:00,Mobile,Referral
36,236,2023-06-02 11:00:00,Tablet,Email
37,24,2023-06-02 12:00:00,Desktop,Google Ads
38,1255,2023-06-02 13:00:00,Mobile,Meta Ads
39,131,2023-06-02 14:00:00,Mobile,Google Ads
40,415,2023-06-02 15:00:00,Mobile,Referral
41,1250,2023-06-02 16:00:00,Desktop,Meta Ads
42,1328,2023-06-02 17:00:00,Mobile,Organic
43,1187,2023-06-02 18:00:00,Desktop,Email
44,1254,2023-06-02 19:00:00,Mobile,Referral
45,267,2023-06-02 20:00:00,Mobile,Email
46,586,2023-06-02 21:00:00,Mobile,Email
47,815,2023-06-02 22:00:00,Desktop,Email
48,1103,2023-06-02 23:00:00,Desktop,Meta Ads
49,888,2023-06-03 00:00:00,Mobile,Email
50,1335,2023-06-03 01:00:00,Mobile,Email
51,968,2023-06-03 02:00:00,Desktop,Google Ads
52,1118,2023-06-03 03:00:00,Mobile,Email
53,454,2023-06-03 04:00:00,Mobile,Meta Ads
54,273,2023-06-03 05:00:00,Mobile,Organic
55,1135,2023-06-03 06:00:00,Mobile,Meta Ads
56,489,2023-06-03 07:00:00,Desktop,Google Ads
57,773,2023-06-03 08:00:00,Mobile,Meta Ads
58,244,2023-06-03 09:00:00,Mobile,Email
59,470,2023-06-03 10:00:00,Desktop,Email
60,809,2023-06-03 11:00:00,Mobile,Meta Ads
